ichi;1
ni;2
san;3
shi, yon;4
go;5
roku;6
nana, shichi;7
hachi;8
kyû, ku;9
jû;10
nijû;20
hyaku;100
sanbyaku;300
yoppyaku;600
happyaku;800
sen;1000
sanzen;3000
hassen;8000
ichiman;10000
